Record Length,40000,,Source,CH1
Sample Interval,CH1:0.0003999999899,,Second,Volt
,,,2.399199963,0.5
,,,2.399600029,0.48
,,,2.399999857,0.5
,,,2.400399923,0.5
,,,2.40079999,0.5
,,,2.401200056,0.48
,,,2.401599884,0.48
,,,2.40199995,0.5
,,,2.402400017,0.48
,,,2.402799845,0.5
,,,2.403199911,0.5
,,,2.403599977,0.48
,,,2.404000044,0.48
,,,2.404399872,0.5
,,,2.404799938,0.48
,,,2.405200005,0.5
,,,2.405599833,0.48
,,,2.405999899,0.5
,,,2.406399965,0.5
,,,2.406800032,0.48
,,,2.40719986,0.48
,,,2.407599926,0.48
,,,2.407999992,0.5
,,,2.40839982,0.5
,,,2.408799887,0.5
,,,2.409199953,0.48
,,,2.409600019,0.48
,,,2.409999847,0.48
,,,2.410399914,0.5
,,,2.41079998,0.5
,,,2.411200047,0.5
,,,2.411599875,0.52
,,,2.411999941,0.48
,,,2.412400007,0.48
,,,2.412799835,0.48
,,,2.413199902,0.5
,,,2.413599968,0.5
,,,2.414000034,0.5
,,,2.414399862,0.5
,,,2.414799929,0.48
,,,2.415199995,0.48
,,,2.415599823,0.52
,,,2.415999889,0.5
,,,2.416399956,0.5
,,,2.416800022,0.5
,,,2.41719985,0.5
,,,2.417599916,0.5
,,,2.417999983,0.48
,,,2.418400049,0.48
,,,2.418799877,0.5
,,,2.419199944,0.5
,,,2.41960001,0.48
,,,2.419999838,0.5
,,,2.420399904,0.5
,,,2.420799971,0.5
,,,2.421200037,0.5
,,,2.421599865,0.48
,,,2.421999931,0.48
,,,2.422399998,0.48
,,,2.422799826,0.48
,,,2.423199892,0.5
,,,2.423599958,0.48
,,,2.424000025,0.48
,,,2.424399853,0.5
,,,2.424799919,0.5
,,,2.425199986,0.5
,,,2.425600052,0.5
,,,2.42599988,0.5
,,,2.426399946,0.48
,,,2.426800013,0.48
,,,2.427199841,0.48
,,,2.427599907,0.48
,,,2.427999973,0.48
,,,2.42840004,0.48
,,,2.428799868,0.48
,,,2.429199934,0.5
,,,2.4296,0.48
,,,2.429999828,0.48
,,,2.430399895,0.48
,,,2.430799961,0.48
,,,2.431200027,0.5
,,,2.431599855,0.5
,,,2.431999922,0.5
,,,2.432399988,0.5
,,,2.432800055,0.48
,,,2.433199883,0.5
,,,2.433599949,0.48
,,,2.434000015,0.48
,,,2.434399843,0.5
,,,2.43479991,0.5
,,,2.435199976,0.48
,,,2.435600042,0.48
,,,2.43599987,0.48
,,,2.436399937,0.48
,,,2.436800003,0.48
,,,2.437199831,0.48
,,,2.437599897,0.5
,,,2.437999964,0.5
,,,2.43840003,0.48
,,,2.438799858,0.5
,,,2.439199924,0.48
,,,2.439599991,0.48
,,,2.440000057,0.5
,,,2.440399885,0.5
,,,2.440799952,0.48
,,,2.441200018,0.5
,,,2.441599846,0.48
,,,2.441999912,0.5
,,,2.442399979,0.48
,,,2.442800045,0.48
,,,2.443199873,0.5
,,,2.443599939,0.48
,,,2.444000006,0.48
,,,2.444399834,0.48
,,,2.4447999,0.48
,,,2.445199966,0.48
,,,2.445600033,0.48
,,,2.445999861,0.48
,,,2.446399927,0.5
,,,2.446799994,0.5
,,,2.447199821,0.48
,,,2.447599888,0.48
,,,2.447999954,0.5
,,,2.448400021,0.5
,,,2.448799849,0.48
,,,2.449199915,0.48
,,,2.449599981,0.5
,,,2.450000048,0.5
,,,2.450399876,0.5
,,,2.450799942,0.5
,,,2.451200008,0.5
,,,2.451599836,0.48
,,,2.451999903,0.5
,,,2.452399969,0.48
,,,2.452800035,0.5
,,,2.453199863,0.48
,,,2.45359993,0.48
,,,2.453999996,0.48
,,,2.454399824,0.48
,,,2.454799891,0.48
,,,2.455199957,0.48
,,,2.455600023,0.48
,,,2.455999851,0.48
,,,2.456399918,0.48
,,,2.456799984,0.5
,,,2.45720005,0.48
,,,2.457599878,0.5
,,,2.457999945,0.48
,,,2.458400011,0.48
,,,2.458799839,0.48
,,,2.459199905,0.48
,,,2.459599972,0.48
,,,2.460000038,0.5
,,,2.460399866,0.5
,,,2.460799932,0.48
,,,2.461199999,0.46
,,,2.461599827,0.48
,,,2.461999893,0.48
,,,2.46239996,0.5
,,,2.462800026,0.5
,,,2.463199854,0.5
,,,2.46359992,0.48
,,,2.463999987,0.5
,,,2.464400053,0.5
,,,2.464799881,0.5
,,,2.465199947,0.5
,,,2.465600014,0.48
,,,2.465999842,0.48
,,,2.466399908,0.48
,,,2.466799974,0.48
,,,2.467200041,0.5
,,,2.467599869,0.48
,,,2.467999935,0.5
,,,2.468400002,0.48
,,,2.468799829,0.5
,,,2.469199896,0.48
,,,2.469599962,0.5
,,,2.470000029,0.48
,,,2.470399857,0.48
,,,2.470799923,0.5
,,,2.471199989,0.5
,,,2.471600056,0.5
,,,2.471999884,0.48
,,,2.47239995,0.48
,,,2.472800016,0.48
,,,2.473199844,0.5
,,,2.473599911,0.5
,,,2.473999977,0.5
,,,2.474400043,0.5
,,,2.474799871,0.5
,,,2.475199938,0.5
,,,2.475600004,0.48
,,,2.475999832,0.5
,,,2.476399899,0.48
,,,2.476799965,0.5
,,,2.477200031,0.5
,,,2.477599859,0.5
,,,2.477999926,0.48
,,,2.478399992,0.48
,,,2.47879982,0.5
,,,2.479199886,0.5
,,,2.479599953,0.5
,,,2.480000019,0.48
,,,2.480399847,0.5
,,,2.480799913,0.5
,,,2.48119998,0.48
,,,2.481600046,0.48
,,,2.481999874,0.48
,,,2.48239994,0.48
,,,2.482800007,0.48
,,,2.483199835,0.5
,,,2.483599901,0.5
,,,2.483999968,0.5
,,,2.484400034,0.48
,,,2.484799862,0.5
,,,2.485199928,0.5
,,,2.485599995,0.5
,,,2.485999823,0.48
,,,2.486399889,0.5
,,,2.486799955,0.48
,,,2.487200022,0.5
,,,2.48759985,0.52
,,,2.487999916,0.5
,,,2.488399982,0.48
,,,2.488800049,0.5
,,,2.489199877,0.48
,,,2.489599943,0.5
,,,2.49000001,0.48
,,,2.490399837,0.48
,,,2.490799904,0.5
,,,2.49119997,0.5
,,,2.491600037,0.5
,,,2.491999865,0.48
,,,2.492399931,0.5
,,,2.492799997,0.48
,,,2.493199825,0.48
,,,2.493599892,0.5
,,,2.493999958,0.5
,,,2.494400024,0.5
,,,2.494799852,0.5
,,,2.495199919,0.5
,,,2.495599985,0.48
,,,2.496000052,0.5
,,,2.496399879,0.5
,,,2.496799946,0.48
,,,2.497200012,0.5
,,,2.49759984,0.48
,,,2.497999907,0.5
,,,2.498399973,0.48
,,,2.498800039,0.48
,,,2.499199867,0.48
,,,2.499599934,0.48
,,,2.5,0.48
,,,2.500399828,0.48
,,,2.500799894,0.48
,,,2.501199961,0.48
,,,2.501600027,0.5
,,,2.501999855,0.5
,,,2.502399921,0.5
,,,2.502799988,0.5
,,,2.503200054,0.48
,,,2.503599882,0.5
,,,2.503999949,0.48
,,,2.504400015,0.48
,,,2.504799843,0.5
,,,2.505199909,0.48
,,,2.505599976,0.5
,,,2.506000042,0.5
,,,2.50639987,0.48
,,,2.506799936,0.5
,,,2.507200003,0.48
,,,2.507599831,0.5
,,,2.507999897,0.48
,,,2.508399963,0.48
,,,2.50880003,0.48
,,,2.509199858,0.48
,,,2.509599924,0.48
,,,2.50999999,0.48
,,,2.510399818,0.52
,,,2.510799885,0.5
,,,2.511199951,0.5
,,,2.511600018,0.48
,,,2.511999846,0.5
,,,2.512399912,0.48
,,,2.512799978,0.48
,,,2.513200045,0.48
,,,2.513599873,0.48
,,,2.513999939,0.48
,,,2.514400005,0.48
,,,2.514799833,0.48
,,,2.5151999,0.5
,,,2.515599966,0.48
,,,2.516000032,0.48
,,,2.51639986,0.5
,,,2.516799927,0.48
,,,2.517199993,0.46
,,,2.517599821,0.48
,,,2.517999887,0.5
,,,2.518399954,0.48
,,,2.51880002,0.48
,,,2.519199848,0.48
,,,2.519599915,0.48
,,,2.519999981,0.5
,,,2.520400047,0.5
,,,2.520799875,0.48
,,,2.521199942,0.5
,,,2.521600008,0.48
,,,2.521999836,0.48
,,,2.522399902,0.5
,,,2.522799969,0.48
,,,2.523200035,0.48
,,,2.523599863,0.48
,,,2.523999929,0.48
,,,2.524399996,0.48
,,,2.524799824,0.48
,,,2.52519989,0.48
,,,2.525599957,0.48
,,,2.526000023,0.5
,,,2.526399851,0.5
,,,2.526799917,0.48
,,,2.527199984,0.48
,,,2.52760005,0.48
